id_feedback,sentimento
AV018,negativo
AV027,negativo
AV026,negativo
AV009,positivo
AV029,negativo
AV012,positivo
AV016,negativo
AV025,negativo
AV007,positivo
AV011,positivo
AV020,negativo
AV005,positivo
AV017,negativo
AV013,positivo
AV019,negativo
AV002,positivo
AV001,positivo
AV028,negativo
AV006,positivo
AV015,positivo
AV023,negativo
AV030,negativo
AV004,positivo
AV014,positivo
AV003,positivo
AV024,negativo
AV008,positivo
AV010,positivo
AV022,negativo
AV021,negativo
