id_feedback,data_feedback,canal,produto,texto_feedback,sentimento
TR086,2026-04-01,Marketplace,Smartwatch Orbit,"Tem bons recursos, só que alguns deles não funcionam como esperado. No fim, no caso do Smartwatch Orbit, a experiência final foi ruim e eu não compraria de novo.",negativo
TR091,2026-04-06,App,Cafeteira Blend,"A entrega foi rápida, porém o produto veio com um pequeno defeito. No fim, no caso do Cafeteira Blend, a experiência final foi ruim e eu não compraria de novo.",negativo
TR031,2026-02-05,Marketplace,Cafeteira Blend,"A entrega foi rápida, porém o produto veio com um pequeno defeito. Ainda assim, no caso do Cafeteira Blend, a experiência final foi boa e eu voltaria a usar.",positivo
TR119,2026-05-04,Site,App Finix,"App Finix: Tive dificuldade para conectar e a experiência foi frustrante. Além disso, falhas na notificação comprometeu bastante a experiência. No papel parecia ótimo, mas no uso real decepcionou.",negativo
TR011,2026-01-16,Suporte,App Finix,"O atendimento foi simpático, mas a solução demorou demais. Ainda assim, no caso do App Finix, a experiência final foi boa e eu voltaria a usar.",positivo
TR106,2026-04-21,Suporte,Smartwatch Orbit,"No Smartwatch Orbit, o problema principal foi sincronização com o app. A atualização piorou o desempenho e agora o aplicativo fecha sozinho. A ideia é boa, porém a execução deixou muito a desejar.",negativo
TR042,2026-02-16,Site,App Finix,"A bateria durou mais do que eu esperava e o uso no dia a dia ficou muito prático. No caso do App Finix, o destaque foi organização das finanças. Resolveu meu problema sem complicação.",positivo
TR094,2026-04-09,App,Aspirador Veloz,"No Aspirador Veloz, o problema principal foi autonomia da bateria. Tive dificuldade para conectar e a experiência foi frustrante. No papel parecia ótimo, mas no uso real decepcionou.",negativo
TR118,2026-05-03,Marketplace,Aspirador Veloz,"No Aspirador Veloz, o problema principal foi dificuldade em tapetes. A bateria descarrega rápido demais e preciso recarregar várias vezes ao dia. Esperava algo mais estável pelo valor cobrado.",negativo
TR079,2026-03-25,Suporte,App Finix,"App Finix: Não entregou o que prometia e achei o preço alto pelo que oferece. Além disso, lógica confusa dos menus comprometeu bastante a experiência. A ideia é boa, porém a execução deixou muito a desejar.",negativo
TR019,2026-01-24,App,Smartwatch Orbit,"A entrega foi rápida, porém o produto veio com um pequeno defeito. Ainda assim, no caso do Smartwatch Orbit, a experiência final foi boa e eu voltaria a usar.",positivo
TR021,2026-01-26,Suporte,Cafeteira Blend,"Cafeteira Blend: A bateria durou mais do que eu esperava e o uso no dia a dia ficou muito prático. Além disso, sabor do café fez diferença no meu uso. Mesmo com um detalhe pequeno, no geral a experiência foi muito boa.",positivo
TR048,2026-02-22,Site,Aspirador Veloz,"Aspirador Veloz: A experiência geral foi ótima, compraria novamente sem problemas. Além disso, potência de sucção fez diferença no meu uso. A interface está bem mais organizada agora.",positivo
TR012,2026-01-17,Suporte,Fone Pulse,"Fone Pulse: O som ficou limpo e o cancelamento de ruído surpreendeu positivamente. Além disso, conexão bluetooth fez diferença no meu uso. Mesmo com um detalhe pequeno, no geral a experiência foi muito boa.",positivo
TR073,2026-03-19,Marketplace,Aspirador Veloz,"A entrega foi rápida, porém o produto veio com um pequeno defeito. No fim, no caso do Aspirador Veloz, a experiência final foi ruim e eu não compraria de novo.",negativo
TR120,2026-05-05,Suporte,Cafeteira Blend,"Comprei o Cafeteira Blend e me arrependi. Usei pouco e já apresentou defeito, esperava bem mais da marca. O pior ponto foi fragilidade da jarra.",negativo
TR107,2026-04-22,Site,Cafeteira Blend,"O atendimento foi simpático, mas a solução demorou demais. No fim, no caso do Cafeteira Blend, a experiência final foi ruim e eu não compraria de novo.",negativo
TR055,2026-03-01,App,Notebook Nimbus,"O atendimento foi ágil e conseguiu resolver minha dúvida na primeira tentativa. No caso do Notebook Nimbus, o destaque foi inicialização rápida. Mesmo com um detalhe pequeno, no geral a experiência foi muito boa.",positivo
TR050,2026-02-24,Site,Notebook Nimbus,"Comprei o Notebook Nimbus e gostei bastante. Atendeu exatamente o que eu precisava, fácil de configurar e usar. O ponto que mais me chamou atenção foi desempenho no trabalho.",positivo
TR043,2026-02-17,Suporte,App Finix,"App Finix: Excelente custo-benefício, principalmente comparando com marcas maiores. Além disso, velocidade para abrir fez diferença no meu uso. Resolveu meu problema sem complicação.",positivo
TR066,2026-03-12,Site,App Finix,"No App Finix, o problema principal foi travamentos no login. Usei pouco e já apresentou defeito, esperava bem mais da marca. No papel parecia ótimo, mas no uso real decepcionou.",negativo
TR001,2026-01-06,App,Aspirador Veloz,"O atendimento foi simpático, mas a solução demorou demais. Ainda assim, no caso do Aspirador Veloz, a experiência final foi boa e eu voltaria a usar.",positivo
TR078,2026-03-24,Suporte,Cafeteira Blend,"No Cafeteira Blend, o problema principal foi temperatura do café. A bateria descarrega rápido demais e preciso recarregar várias vezes ao dia. Esperava algo mais estável pelo valor cobrado.",negativo
TR045,2026-02-19,App,Fone Pulse,"O atendimento foi ágil e conseguiu resolver minha dúvida na primeira tentativa. No caso do Fone Pulse, o destaque foi cancelamento de ruído. Achei simples de usar e isso fez diferença pra mim.",positivo
TR018,2026-01-23,Marketplace,Cafeteira Blend,"Gostei bastante da qualidade do material, passou sensação de produto premium. No caso do Cafeteira Blend, o destaque foi sabor do café. Resolveu meu problema sem complicação.",positivo
TR053,2026-02-27,Suporte,Cafeteira Blend,"O atendimento foi simpático, mas a solução demorou demais. Ainda assim, no caso do Cafeteira Blend, a experiência final foi boa e eu voltaria a usar.",positivo
TR049,2026-02-23,App,Smartwatch Orbit,"Comprei o Smartwatch Orbit e gostei bastante. A experiência geral foi ótima, compraria novamente sem problemas. O ponto que mais me chamou atenção foi pulseira confortável.",positivo
TR051,2026-02-25,Suporte,Fone Pulse,"Fone Pulse: Entrega rápida e produto funcionando perfeitamente desde o primeiro uso. Além disso, cancelamento de ruído fez diferença no meu uso. Resolveu meu problema sem complicação.",positivo
TR003,2026-01-08,App,Aspirador Veloz,"A bateria durou mais do que eu esperava e o uso no dia a dia ficou muito prático. No caso do Aspirador Veloz, o destaque foi potência de sucção. Mesmo com um detalhe pequeno, no geral a experiência foi muito boa.",positivo
TR022,2026-01-27,Suporte,Cafeteira Blend,"Comprei o Cafeteira Blend e gostei bastante. Atendeu exatamente o que eu precisava, fácil de configurar e usar. O ponto que mais me chamou atenção foi preparo rápido.",positivo
TR064,2026-03-10,Marketplace,Cafeteira Blend,"No Cafeteira Blend, o problema principal foi vazamento de água. Usei pouco e já apresentou defeito, esperava bem mais da marca. A ideia é boa, porém a execução deixou muito a desejar.",negativo
TR067,2026-03-13,Site,App Finix,"No App Finix, o problema principal foi falhas na notificação. Não entregou o que prometia e achei o preço alto pelo que oferece. Esperava algo mais estável pelo valor cobrado.",negativo
TR109,2026-04-24,Suporte,App Finix,"O atendimento foi simpático, mas a solução demorou demais. No fim, no caso do App Finix, a experiência final foi ruim e eu não compraria de novo.",negativo
TR097,2026-04-12,Marketplace,Notebook Nimbus,"Notebook Nimbus: Não entregou o que prometia e achei o preço alto pelo que oferece. Além disso, aquecimento excessivo comprometeu bastante a experiência. O suporte foi educado, mas o problema continuou.",negativo
TR081,2026-03-27,Site,Smartwatch Orbit,"No Smartwatch Orbit, o problema principal foi sensor de passos. A configuração inicial foi confusa e o manual não ajudou em quase nada. A ideia é boa, porém a execução deixou muito a desejar.",negativo
